127.0.0.1 - - [12/Jul/2015:10:50:14 +0200] "GET / HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [12/Jul/2015:10:50:19 +0200] "GET /COMPET-BLOC/index.jsp HTTP/1.1" 200 1044
0:0:0:0:0:0:0:1 - - [12/Jul/2015:10:50:19 +0200] "GET /COMPET-BLOC/boostrap/js/jquery.js HTTP/1.1" 200 247597
0:0:0:0:0:0:0:1 - - [12/Jul/2015:10:50:19 +0200] "GET /COMPET-BLOC/inc/css/tuto.css HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [12/Jul/2015:10:50:19 +0200] "GET /COMPET-BLOC/boostrap/dist/js/bootstrap.js HTTP/1.1" 200 68890
0:0:0:0:0:0:0:1 - - [12/Jul/2015:10:50:19 +0200] "GET /COMPET-BLOC/boostrap/dist/css/bootstrap.css HTTP/1.1" 200 147429
0:0:0:0:0:0:0:1 - - [12/Jul/2015:10:50:19 +0200] "GET /favicon.ico HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [12/Jul/2015:10:50:19 +0200] "GET /favicon.ico HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [12/Jul/2015:10:52:41 +0200] "GET /COMPET-BLOC/index.jsp HTTP/1.1" 200 1044
0:0:0:0:0:0:0:1 - - [12/Jul/2015:10:52:41 +0200] "GET /COMPET-BLOC/inc/css/tuto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:10:52:41 +0200] "GET /COMPET-BLOC/boostrap/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:10:52:41 +0200] "GET /COMPET-BLOC/boostrap/dist/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:10:52:41 +0200] "GET /COMPET-BLOC/boostrap/dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:10:52:46 +0200] "GET /COMPET-BLOC/index.jsp HTTP/1.1" 200 1071
0:0:0:0:0:0:0:1 - - [12/Jul/2015:10:52:47 +0200] "GET /COMPET-BLOC/boostrap/dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:10:52:47 +0200] "GET /COMPET-BLOC/boostrap/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:10:52:47 +0200] "GET /COMPET-BLOC/inc/css/tuto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:10:52:47 +0200] "GET /COMPET-BLOC/boostrap/dist/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:10:56:41 +0200] "GET /COMPET-BLOC/index.jsp HTTP/1.1" 200 1703
0:0:0:0:0:0:0:1 - - [12/Jul/2015:10:56:41 +0200] "GET /COMPET-BLOC/boostrap/dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:10:56:41 +0200] "GET /COMPET-BLOC/boostrap/dist/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:10:56:41 +0200] "GET /COMPET-BLOC/inc/css/tuto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:10:56:41 +0200] "GET /COMPET-BLOC/boostrap/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:07:59 +0200] "GET /COMPET-BLOC/index.jsp HTTP/1.1" 200 1777
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:07:59 +0200] "GET /COMPET-BLOC/boostrap/dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:07:59 +0200] "GET /COMPET-BLOC/inc/css/tuto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:07:59 +0200] "GET /COMPET-BLOC/boostrap/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:07:59 +0200] "GET /COMPET-BLOC/boostrap/dist/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:08:33 +0200] "GET /COMPET-BLOC/index.jsp HTTP/1.1" 200 1775
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:08:33 +0200] "GET /COMPET-BLOC/inc/css/tuto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:08:33 +0200] "GET /COMPET-BLOC/boostrap/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:08:33 +0200] "GET /COMPET-BLOC/boostrap/dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:08:33 +0200] "GET /COMPET-BLOC/boostrap/dist/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:08:55 +0200] "GET /COMPET-BLOC/index.jsp HTTP/1.1" 200 1796
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:08:55 +0200] "GET /COMPET-BLOC/inc/css/tuto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:08:55 +0200] "GET /COMPET-BLOC/boostrap/dist/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:08:55 +0200] "GET /COMPET-BLOC/boostrap/dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:08:55 +0200] "GET /COMPET-BLOC/boostrap/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:09:02 +0200] "GET /COMPET-BLOC/index.jsp HTTP/1.1" 200 1796
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:09:02 +0200] "GET /COMPET-BLOC/boostrap/dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:09:02 +0200] "GET /COMPET-BLOC/boostrap/dist/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:09:02 +0200] "GET /COMPET-BLOC/boostrap/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:09:02 +0200] "GET /COMPET-BLOC/inc/css/tuto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:09:03 +0200] "GET /COMPET-BLOC/index.jsp HTTP/1.1" 200 1796
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:09:03 +0200] "GET /COMPET-BLOC/boostrap/dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:09:03 +0200] "GET /COMPET-BLOC/inc/css/tuto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:09:03 +0200] "GET /COMPET-BLOC/boostrap/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:09:03 +0200] "GET /COMPET-BLOC/boostrap/dist/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:11:02 +0200] "GET /COMPET-BLOC/index.jsp HTTP/1.1" 200 1788
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:11:02 +0200] "GET /COMPET-BLOC/boostrap/dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:11:02 +0200] "GET /COMPET-BLOC/boostrap/dist/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:11:02 +0200] "GET /COMPET-BLOC/boostrap/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:11:02 +0200] "GET /COMPET-BLOC/inc/css/tuto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:11:03 +0200] "GET /COMPET-BLOC/index.jsp HTTP/1.1" 200 1788
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:11:03 +0200] "GET /COMPET-BLOC/boostrap/dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:11:03 +0200] "GET /COMPET-BLOC/boostrap/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:11:03 +0200] "GET /COMPET-BLOC/inc/css/tuto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:11:03 +0200] "GET /COMPET-BLOC/boostrap/dist/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:12:40 +0200] "GET /COMPET-BLOC/index.jsp HTTP/1.1" 200 1793
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:12:40 +0200] "GET /COMPET-BLOC/boostrap/dist/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:12:40 +0200] "GET /COMPET-BLOC/inc/css/tuto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:12:40 +0200] "GET /COMPET-BLOC/boostrap/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:12:40 +0200] "GET /COMPET-BLOC/boostrap/dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:12:52 +0200] "GET /COMPET-BLOC/index.jsp HTTP/1.1" 200 1782
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:12:52 +0200] "GET /COMPET-BLOC/inc/css/tuto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:12:52 +0200] "GET /COMPET-BLOC/boostrap/dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:12:52 +0200] "GET /COMPET-BLOC/boostrap/dist/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:12:52 +0200] "GET /COMPET-BLOC/boostrap/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:13:03 +0200] "GET /COMPET-BLOC/index.jsp HTTP/1.1" 200 1769
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:13:04 +0200] "GET /COMPET-BLOC/boostrap/dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:13:04 +0200] "GET /COMPET-BLOC/inc/css/tuto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:13:04 +0200] "GET /COMPET-BLOC/boostrap/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:13:04 +0200] "GET /COMPET-BLOC/boostrap/dist/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:14:18 +0200] "GET /COMPET-BLOC/index.jsp HTTP/1.1" 200 1787
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:14:18 +0200] "GET /COMPET-BLOC/boostrap/dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:14:18 +0200] "GET /COMPET-BLOC/boostrap/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:14:18 +0200] "GET /COMPET-BLOC/inc/css/tuto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:14:18 +0200] "GET /COMPET-BLOC/boostrap/dist/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:14:52 +0200] "GET /COMPET-BLOC/index.jsp HTTP/1.1" 200 1786
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:14:52 +0200] "GET /COMPET-BLOC/inc/css/tuto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:14:52 +0200] "GET /COMPET-BLOC/boostrap/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:14:52 +0200] "GET /COMPET-BLOC/boostrap/dist/css/bootstrap.css HTTP/1.1" 304 -
